1,Abkhaz-Adyge
2,Indo-European
3,Austronesian
4,Atlantic-Congo
5,Afro-Asiatic
6,Sino-Tibetan
7,
8,Otomanguean
9,Nakh-Daghestanian
10,Aymaran
11,Turkic
12,Mande
13,Basque
14,Quechuan
15,Chibchan
16,Burushaski
17,Mongolic
18,Iroquoian
19,Athabaskan-Eyak-Tlingit
20,Mayan
21,Nilotic
22,Uralic
23,Furan
24,Arawakan
25,Kartvelian
26,Tupian
27,Koreanic
28,Hmong-Mien
29,Uto-Aztecan
30,Eskimo-Aleut
31,Tai-Kadai
32,Dravidian
33,Japonic
34,Ijoid
35,Austroasiatic
36,Yuman
37,Siouan
38,Algic
39,Salish
40,Araucanian
41,Maban
42,Cochimi-Yuman
43,Nubian
44,Tarascan
45,Totonacan
46,Chicham
47,Songhay
48,Saharan
